year,stage,venue,date_time,summary,team1,score1,team2,score2
2010,,"MATCH 44
Arun Jaitley Stadium, Delhi
APR, SUN 11 , 4:00 pm IST",,PUNJAB KINGS WON BY 7 WICKETS,Delhi Daredevils,111,Punjab Kings,112/3
2010,,"MATCH 43
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 10 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,162/3,Kolkata Knight Riders,160/9
2010,,"MATCH 42
Vidarbha Cricket Association Stadium, Nagpur
APR, SAT 10 , 4:00 pm IST",,DECCAN CHARGERS WON BY 6 WICKETS,Deccan Chargers,139/4,Chennai Super Kings,138/8
2010,,"MATCH 41
IS Bindra Stadium, Mohali
APR, FRI 9 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,158/4,Mumbai Indians,154/9
2010,,"MATCH 40
M. Chinnaswamy Stadium, Bengaluru
APR, THU 8 , 8:00 pm IST",,DECCAN CHARGERS WON BY 7 WICKETS,Royal Challengers Bangalore,184/6,Deccan Chargers,186/3
2010,,"MATCH 39
Eden Gardens, Kolkata
APR, WED 7 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 14 RUNS,Kolkata Knight Riders,181/3,Delhi Daredevils,167/8
2010,,"MATCH 38
Sawai Mansingh Stadium, Jaipur
APR, WED 7 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 9 WICKETS,Rajasthan Royals,157/1,Punjab Kings,153/6
2010,,"MATCH 37
M. A. Chidambaram Stadium, Chennai
APR, TUE 6 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 24 RUNS,Chennai Super Kings,165/4,Mumbai Indians,141/9
2010,,"MATCH 36
Vidarbha Cricket Association Stadium, Nagpur
APR, MON 5 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 2 RUNS,Deccan Chargers,157,Rajasthan Royals,159
2010,,"MATCH 35
Arun Jaitley Stadium, Delhi
APR, SUN 4 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 37 RUNS,Delhi Daredevils,184/5,Royal Challengers Bangalore,147/9
2010,,"MATCH 34
Eden Gardens, Kolkata
APR, SUN 4 , 4:00 pm IST",,PUNJAB KINGS WON BY 8 WICKETS,Kolkata Knight Riders,200/3,Punjab Kings,204/2
2010,,"MATCH 33
Brabourne Stadium, Mumbai
APR, SAT 3 , 8:00 pm IST",,MUMBAI INDIANS WON BY 63 RUNS,Mumbai Indians,178/5,Deccan Chargers,115
2010,,"MATCH 32
M. A. Chidambaram Stadium, Chennai
APR, SAT 3 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 23 RUNS,Chennai Super Kings,246/5,Rajasthan Royals,223/5
2010,,"MATCH 31
IS Bindra Stadium, Mohali
APR, FRI 2 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Punjab Kings,181/5,Royal Challengers Bangalore,184/4
2010,,"MATCH 30
Eden Gardens, Kolkata
APR, THU 1 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 24 RUNS,Kolkata Knight Riders,181/6,Deccan Chargers,157/5
2010,,"MATCH 29
Arun Jaitley Stadium, Delhi
MAR, WED 31 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 67 RUNS,Delhi Daredevils,188/6,Rajasthan Royals,121
2010,,"MATCH 28
M. A. Chidambaram Stadium, Chennai
MAR, WED 31 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,162/5,Royal Challengers Bangalore,161/4
2010,,"MATCH 27
Brabourne Stadium, Mumbai
MAR, TUE 30 , 8:00 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Mumbai Indians,164/6,Punjab Kings,163
2010,,"MATCH 26
Arun Jaitley Stadium, Delhi
MAR, MON 29 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 40 RUNS,Delhi Daredevils,177/4,Kolkata Knight Riders,137/9
2010,,"MATCH 25
DY Patil Stadium, NAVI MUMBAI
MAR, SUN 28 , 8:00 pm IST",,MUMBAI INDIANS WON BY 41 RUNS,Deccan Chargers,131,Mumbai Indians,172/7
2010,,"MATCH 24
Narendra Modi Stadium, Ahmedabad
MAR, SUN 28 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 17 RUNS,Rajasthan Royals,177/8,Chennai Super Kings,160/6
2010,,"MATCH 23
IS Bindra Stadium, Mohali
MAR, SAT 27 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 39 RUNS,Punjab Kings,144/6,Kolkata Knight Riders,183/5
2010,,"MATCH 22
Narendra Modi Stadium, Ahmedabad
MAR, FRI 26 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,151/2,Deccan Chargers,148/9
2010,,"MATCH 21
Brabourne Stadium, Mumbai
MAR, THU 25 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,181/5,Chennai Super Kings,180/2
2010,,"MATCH 20
M. Chinnaswamy Stadium, Bengaluru
MAR, THU 25 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 17 RUNS,Royal Challengers Bangalore,166/9,Delhi Daredevils,183/4
2010,,"MATCH 19
IS Bindra Stadium, Mohali
MAR, WED 24 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 31 RUNS,Punjab Kings,152,Rajasthan Royals,183/5
2010,,"MATCH 18
M. Chinnaswamy Stadium, Bengaluru
MAR, TUE 23 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 36 RUNS,Royal Challengers Bangalore,171/5,Chennai Super Kings,135/7
2010,,"MATCH 17
Brabourne Stadium, Mumbai
MAR, MON 22 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians,156/3,Kolkata Knight Riders,155/3
2010,,"MATCH 16
M. A. Chidambaram Stadium, Chennai
MAR, SUN 21 , 8:00 pm IST",,KINGS XI PUNJAB WON THE 1-OVER ELIMINATOR,Chennai Super Kings,136/7,Punjab Kings,136/8
2010,,"MATCH 15
Barabati Stadium, Cuttack
MAR, SUN 21 , 4:00 pm IST",,DECCAN CHARGERS WON BY 10 RUNS,Deccan Chargers,171/6,Delhi Daredevils,161/9
2010,,"MATCH 14
Brabourne Stadium, Mumbai
MAR, SAT 20 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Mumbai Indians,151/9,Royal Challengers Bangalore,155/3
2010,,"MATCH 13
Narendra Modi Stadium, Ahmedabad
MAR, SAT 20 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 34 RUNS,Rajasthan Royals,168/7,Kolkata Knight Riders,134/5
2010,,"MATCH 12
Barabati Stadium, Cuttack
MAR, FRI 19 , 8:00 pm IST",,DECCAN CHARGERS WON BY 6 RUNS,Deccan Chargers,170/7,Punjab Kings,164/8
2010,,"MATCH 11
Arun Jaitley Stadium, Delhi
MAR, FRI 19 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Delhi Daredevils,185/6,Chennai Super Kings,190/5
2010,,"MATCH 10
M. Chinnaswamy Stadium, Bengaluru
MAR, THU 18 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 10 WICKETS,Royal Challengers Bangalore,93/0,Rajasthan Royals,92
2010,,"MATCH 9
Arun Jaitley Stadium, Delhi
MAR, WED 17 , 8:00 pm IST",,MUMBAI INDIANS WON BY 98 RUNS,Delhi Daredevils,120/9,Mumbai Indians,218/7
2010,,"MATCH 8
Eden Gardens, Kolkata
MAR, TUE 16 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 55 RUNS,Kolkata Knight Riders,109,Chennai Super Kings,164/3
2010,,"MATCH 7
M. Chinnaswamy Stadium, Bengaluru
MAR, TUE 16 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Royal Challengers Bangalore,204/2,Punjab Kings,203/3
2010,,"MATCH 6
Narendra Modi Stadium, Ahmedabad
MAR, MON 15 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Rajasthan Royals,141/6,Delhi Daredevils,142/4
2010,,"MATCH 5
M. A. Chidambaram Stadium, Chennai
MAR, SUN 14 , 8:00 pm IST",,DECCAN CHARGERS WON BY 31 RUNS,Chennai Super Kings,159/9,Deccan Chargers,190/4
2010,,"MATCH 4
Eden Gardens, Kolkata
MAR, SUN 14 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Kolkata Knight Riders,136/3,Royal Challengers Bangalore,135/7
2010,,"MATCH 3
IS Bindra Stadium, Mohali
MAR, SAT 13 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 5 WICKETS,Punjab Kings,142/9,Delhi Daredevils,146/5
2010,,"MATCH 2
Brabourne Stadium, Mumbai
MAR, SAT 13 , 4:00 pm IST",,MUMBAI INDIANS WON BY 4 RUNS,Mumbai Indians,212/6,Rajasthan Royals,208/7
2010,,"MATCH 1
DY Patil Stadium, NAVI MUMBAI
MAR, FRI 12 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 11 RUNS,Deccan Chargers,150/7,Kolkata Knight Riders,161/4
2011,,"MATCH 74
M. A. Chidambaram Stadium, Chennai
MAY, SAT 28 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 58 RUNS,Chennai Super Kings,205/5,Royal Challengers Bangalore,147/8
2011,,"MATCH 73
M. A. Chidambaram Stadium, Chennai
MAY, FRI 27 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 43 RUNS,Royal Challengers Bangalore,185/4,Mumbai Indians,142/8
2011,,"MATCH 72
Wankhede Stadium, Mumbai
MAY, WED 25 , 8:00 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Kolkata Knight Riders,147/7,Mumbai Indians,148/6
2011,,"MATCH 71
Wankhede Stadium, Mumbai
MAY, TUE 24 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Royal Challengers Bangalore,175/4,Chennai Super Kings,177/4
2011,,"MATCH 70
Eden Gardens, Kolkata
MAY, SUN 22 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Kolkata Knight Riders,175/7,Mumbai Indians,178/5
2011,,"MATCH 69
M. Chinnaswamy Stadium, Bengaluru
MAY, SUN 22 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Royal Challengers Bangalore,129/2,Chennai Super Kings,128/8
2011,,"MATCH 68
Arun Jaitley Stadium, Delhi
MAY, SAT 21 , 8:00 pm IST",,NO RESULT,Delhi Daredevils,56/3,Pune Warriors India,
2011,,"MATCH 67
HPCA Stadium, Dharamsala
MAY, SAT 21 , 4:00 pm IST",,DECCAN CHARGERS WON BY 82 RUNS,Punjab Kings,116,Deccan Chargers,198/2
2011,,"MATCH 66
Wankhede Stadium, Mumbai
MAY, FRI 20 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 10 WICKETS,Mumbai Indians,133/5,Rajasthan Royals,134/0
2011,,"MATCH 65
DY Patil Stadium, NAVI MUMBAI
MAY, THU 19 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Pune Warriors India,118/7,Kolkata Knight Riders,119/3
2011,,"MATCH 64
M. A. Chidambaram Stadium, Chennai
MAY, WED 18 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 11 RUNS,Chennai Super Kings,152/5,Kochi Tuskers Kerala,141/5
2011,,"MATCH 63
HPCA Stadium, Dharamsala
MAY, TUE 17 , 8:00 pm IST",,PUNJAB KINGS WON BY 111 RUNS,Punjab Kings,232/2,Royal Challengers Bangalore,121
2011,,"MATCH 62
DY Patil Stadium, NAVI MUMBAI
MAY, MON 16 , 8:00 pm IST",,DECCAN CHARGERS WON BY 6 WICKETS,Pune Warriors India,136/9,Deccan Chargers,138/4
2011,,"MATCH 61
Holkar Cricket Stadium, Indore
MAY, SUN 15 , 8:00 pm IST",,KOCHI TUSKERS KERALA WON BY 8 WICKETS,Kochi Tuskers Kerala,98/2,Rajasthan Royals,97
2011,,"MATCH 60
HPCA Stadium, Dharamsala
MAY, SUN 15 , 4:00 pm IST",,PUNJAB KINGS WON BY 29 RUNS,Punjab Kings,170/6,Delhi Daredevils,141/8
2011,,"MATCH 59
Wankhede Stadium, Mumbai
MAY, SAT 14 , 8:00 pm IST",,DECCAN CHARGERS WON BY 10 RUNS,Mumbai Indians,125/8,Deccan Chargers,135/6
2011,,"MATCH 58
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 14 , 4:00 pm IST",,RCB WON BY 4 WICKETS (D/L METHOD),Royal Challengers Bangalore,105/6,Kolkata Knight Riders,89/4
2011,,"MATCH 57
Holkar Cricket Stadium, Indore
MAY, FRI 13 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Kochi Tuskers Kerala,178/7,Punjab Kings,181/4
2011,,"MATCH 56
M. A. Chidambaram Stadium, Chennai
MAY, THU 12 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 18 RUNS,Chennai Super Kings,176/4,Delhi Daredevils,158/6
2011,,"MATCH 55
Sawai Mansingh Stadium, Jaipur
MAY, WED 11 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Rajasthan Royals,146/6,Royal Challengers Bangalore,151/1
2011,,"MATCH 54
IS Bindra Stadium, Mohali
MAY, TUE 10 , 8:00 pm IST",,PUNJAB KINGS WON BY 76 RUNS,Punjab Kings,163/8,Mumbai Indians,87
2011,,"MATCH 53
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, TUE 10 , 4:00 pm IST",,PUNE WARRIORS INDIA WON BY 6 WICKETS,Deccan Chargers,136/8,Pune Warriors India,137/4
2011,,"MATCH 52
Sawai Mansingh Stadium, Jaipur
MAY, MON 9 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 63 RUNS,Rajasthan Royals,133,Chennai Super Kings,196/3
2011,,"MATCH 51
IS Bindra Stadium, Mohali
MAY, SUN 8 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 5 WICKETS,Punjab Kings,119/8,Pune Warriors India,120/5
2011,,"MATCH 50
M. Chinnaswamy Stadium, Bengaluru
MAY, SUN 8 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Royal Challengers Bangalore,128/1,Kochi Tuskers Kerala,125/9
2011,,"MATCH 49
Wankhede Stadium, Mumbai
MAY, SAT 7 , 8:00 pm IST",,MUMBAI INDIANS WON BY 32 RUNS,Mumbai Indians,178/4,Delhi Daredevils,146
2011,,"MATCH 48
Eden Gardens, Kolkata
MAY, SAT 7 , 4:00 pm IST",,KKR WON BY 10 RUNS (D/L METHOD),Kolkata Knight Riders,61/2,Chennai Super Kings,114/4
2011,,"MATCH 47
M. Chinnaswamy Stadium, Bengaluru
MAY, FRI 6 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 85 RUNS,Royal Challengers Bangalore,205/6,Punjab Kings,120/9
2011,,"MATCH 46
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, THU 5 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 4 WICKETS,Deccan Chargers,175/5,Delhi Daredevils,179/6
2011,,"MATCH 45
Jawaharlal Nehru Stadium, Kochi
MAY, THU 5 , 4:00 pm IST",,KOCHI TUSKERS KERALA WON BY 17 RUNS,Kochi Tuskers Kerala,156/5,Kolkata Knight Riders,139/7
2011,,"MATCH 44
DY Patil Stadium, NAVI MUMBAI
MAY, WED 4 , 8:00 pm IST",,MUMBAI INDIANS WON BY 21 RUNS,Pune Warriors India,139/7,Mumbai Indians,160/7
2011,,"MATCH 43
M. A. Chidambaram Stadium, Chennai
MAY, WED 4 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Chennai Super Kings,149/2,Rajasthan Royals,147/6
2011,,"MATCH 42
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, TUE 3 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 20 RUNS,Deccan Chargers,149/6,Kolkata Knight Riders,169/4
2011,,"MATCH 41
Arun Jaitley Stadium, Delhi
MAY, MON 2 , 8:00 pm IST",,KOCHI TUSKERS KERALA WON BY 7 WICKETS,Delhi Daredevils,140/6,Kochi Tuskers Kerala,141/3
2011,,"MATCH 40
Wankhede Stadium, Mumbai
MAY, MON 2 , 4:00 pm IST",,MUMBAI INDIANS WON BY 23 RUNS,Mumbai Indians,159/5,Punjab Kings,136/8
2011,,"MATCH 39
M. A. Chidambaram Stadium, Chennai
MAY, SUN 1 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 19 RUNS,Chennai Super Kings,165/5,Deccan Chargers,146/8
2011,,"MATCH 38
Sawai Mansingh Stadium, Jaipur
MAY, SUN 1 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Rajasthan Royals,144/4,Pune Warriors India,143/7
2011,,"MATCH 37
Eden Gardens, Kolkata
APR, SAT 30 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Kolkata Knight Riders,120/2,Punjab Kings,119/6
2011,,"MATCH 36
Jawaharlal Nehru Stadium, Kochi
APR, SAT 30 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 38 RUNS,Kochi Tuskers Kerala,119,Delhi Daredevils,157/7
2011,,"MATCH 35
M. Chinnaswamy Stadium, Bengaluru
APR, FRI 29 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 26 RUNS,Royal Challengers Bangalore,181/5,Pune Warriors India,155/5
2011,,"MATCH 34
Sawai Mansingh Stadium, Jaipur
APR, FRI 29 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Rajasthan Royals,95/3,Mumbai Indians,94/8
2011,,"MATCH 33
Arun Jaitley Stadium, Delhi
APR, THU 28 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 17 RUNS,Delhi Daredevils,131/9,Kolkata Knight Riders,148/7
2011,,"MATCH 32
Jawaharlal Nehru Stadium, Kochi
APR, WED 27 , 8:00 pm IST",,DECCAN CHARGERS WON BY 55 RUNS,Kochi Tuskers Kerala,74,Deccan Chargers,129/7
2011,,"MATCH 31
DY Patil Stadium, NAVI MUMBAI
APR, WED 27 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Pune Warriors India,141/6,Chennai Super Kings,145/2
2011,,"MATCH 30
Arun Jaitley Stadium, Delhi
APR, TUE 26 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 3 WICKETS,Delhi Daredevils,160/6,Royal Challengers Bangalore,161/7
2011,,"MATCH 29
M. A. Chidambaram Stadium, Chennai
APR, MON 25 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 25 RUNS,Chennai Super Kings,142/6,Pune Warriors India,117/9
2011,,"MATCH 28
Sawai Mansingh Stadium, Jaipur
APR, SUN 24 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,111/2,Kochi Tuskers Kerala,109
2011,,"MATCH 27
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 24 , 4:00 pm IST",,MUMBAI INDIANS WON BY 37 RUNS,Deccan Chargers,135/8,Mumbai Indians,172/4
2011,,"MATCH 26
Arun Jaitley Stadium, Delhi
APR, SAT 23 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 29 RUNS,Delhi Daredevils,231/4,Punjab Kings,202/6
2011,,"MATCH 25
Wankhede Stadium, Mumbai
APR, FRI 22 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 RUNS,Mumbai Indians,164/4,Chennai Super Kings,156/9
2011,,"MATCH 24
Eden Gardens, Kolkata
APR, FRI 22 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,Kolkata Knight Riders,171/5,Royal Challengers Bangalore,175/1
2011,,"MATCH 23
IS Bindra Stadium, Mohali
APR, THU 21 , 8:00 pm IST",,PUNJAB KINGS WON BY 48 RUNS,Punjab Kings,195/7,Rajasthan Royals,147/7
2011,,"MATCH 22
Eden Gardens, Kolkata
APR, WED 20 , 8:00 pm IST",,KOCHI TUSKERS KERALA WON BY 6 RUNS,Kolkata Knight Riders,126/9,Kochi Tuskers Kerala,132/7
2011,,"MATCH 21
Wankhede Stadium, Mumbai
APR, WED 20 , 4:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians,124/3,Pune Warriors India,118
2011,,"MATCH 20
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 19 , 8:00 pm IST",,MATCH ABANDONED WITHOUT A BALL BOWLED,Royal Challengers Bangalore,,Rajasthan Royals,
2011,,"MATCH 19
Arun Jaitley Stadium, Delhi
APR, TUE 19 , 4:00 pm IST",,DECCAN CHARGERS WON BY 16 RUNS,Delhi Daredevils,152/7,Deccan Chargers,168/4
2011,,"MATCH 18
Jawaharlal Nehru Stadium, Kochi
APR, MON 18 , 8:00 pm IST",,KTK WON BY 7 WICKETS (D/L METHOD),Kochi Tuskers Kerala,135/3,Chennai Super Kings,131/4
2011,,"MATCH 17
Eden Gardens, Kolkata
APR, SUN 17 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Kolkata Knight Riders,85/2,Rajasthan Royals,81
2011,,"MATCH 16
DY Patil Stadium, NAVI MUMBAI
APR, SUN 17 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 3 WICKETS,Pune Warriors India,187/5,Delhi Daredevils,190/7
2011,,"MATCH 15
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SAT 16 , 8:00 pm IST",,PUNJAB KINGS WON BY 8 WICKETS,Deccan Chargers,165/8,Punjab Kings,166/2
2011,,"MATCH 14
M. A. Chidambaram Stadium, Chennai
APR, SAT 16 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 21 RUNS,Chennai Super Kings,183/5,Royal Challengers Bangalore,162/7
2011,,"MATCH 13
Wankhede Stadium, Mumbai
APR, FRI 15 , 8:00 pm IST",,KOCHI TUSKERS KERALA WON BY 8 WICKETS,Mumbai Indians,182/2,Kochi Tuskers Kerala,184/2
2011,,"MATCH 12
Sawai Mansingh Stadium, Jaipur
APR, FRI 15 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 9 WICKETS,Rajasthan Royals,159/4,Kolkata Knight Riders,160/1
2011,,"MATCH 11
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, THU 14 , 8:00 pm IST",,DECCAN CHARGERS WON BY 33 RUNS,Deccan Chargers,175/5,Royal Challengers Bangalore,142/9
2011,,"MATCH 10
DY Patil Stadium, NAVI MUMBAI
APR, WED 13 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 4 WICKETS,Pune Warriors India,151/6,Kochi Tuskers Kerala,148/8
2011,,"MATCH 9
IS Bindra Stadium, Mohali
APR, WED 13 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,193/4,Chennai Super Kings,188/4
2011,,"MATCH 8
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 12 , 8:00 pm IST",,MUMBAI INDIANS WON BY 9 WICKETS,Royal Challengers Bangalore,140/4,Mumbai Indians,143/1
2011,,"MATCH 7
Sawai Mansingh Stadium, Jaipur
APR, TUE 12 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Rajasthan Royals,152/4,Delhi Daredevils,151/6
2011,,"MATCH 6
Eden Gardens, Kolkata
APR, MON 11 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 9 RUNS,Kolkata Knight Riders,163/4,Deccan Chargers,154/8
2011,,"MATCH 5
DY Patil Stadium, NAVI MUMBAI
APR, SUN 10 , 8:00 pm IST",,PUNE WARRIORS INDIA WON BY 7 WICKETS,Pune Warriors India,113/3,Punjab Kings,112/8
2011,,"MATCH 4
Arun Jaitley Stadium, Delhi
APR, SUN 10 , 4:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Delhi Daredevils,95,Mumbai Indians,99/2
2011,,"MATCH 3
Jawaharlal Nehru Stadium, Kochi
APR, SAT 9 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Kochi Tuskers Kerala,161/5,Royal Challengers Bangalore,162/4
2011,,"MATCH 2
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SAT 9 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Deccan Chargers,137/8,Rajasthan Royals,141/2
2011,,"MATCH 1
M. A. Chidambaram Stadium, Chennai
APR, FRI 8 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 2 RUNS,Chennai Super Kings,153/4,Kolkata Knight Riders,151/7
2012,,"MATCH 75
M. A. Chidambaram Stadium, Chennai
MAY, SUN 27 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders,192/5,Chennai Super Kings,190/3
2012,,"MATCH 74
M. A. Chidambaram Stadium, Chennai
MAY, FRI 25 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 86 RUNS,Chennai Super Kings,222/5,Delhi Daredevils,136
2012,,"MATCH 73
M. Chinnaswamy Stadium, Bengaluru
MAY, WED 23 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 38 RUNS,Mumbai Indians,149/9,Chennai Super Kings,187/5
2012,,"MATCH 72
Pune
MAY, TUE 22 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 18 RUNS,Delhi Daredevils,144/8,Kolkata Knight Riders,162/4
2012,,"MATCH 71
Sawai Mansingh Stadium, Jaipur
MAY, SUN 20 , 8:00 pm IST",,MUMBAI INDIANS WON BY 10 WICKETS,Rajasthan Royals,162/6,Mumbai Indians,163/0
2012,,"MATCH 70
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 20 , 4:00 pm IST",,DECCAN CHARGERS WON BY 9 RUNS,Deccan Chargers,132/7,Royal Challengers Bangalore,123/9
2012,,"MATCH 69
Pune
MAY, SAT 19 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 34 RUNS,Pune Warriors India,102/8,Kolkata Knight Riders,136/4
2012,,"MATCH 68
HPCA Stadium, Dharamsala
MAY, SAT 19 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Punjab Kings,141/8,Delhi Daredevils,145/4
2012,,"MATCH 67
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, FRI 18 , 8:00 pm IST",,DECCAN CHARGERS WON BY 5 WICKETS,Deccan Chargers,128/5,Rajasthan Royals,126/8
2012,,"MATCH 66
Arun Jaitley Stadium, Delhi
MAY, THU 17 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 21 RUNS,Delhi Daredevils,194/9,Royal Challengers Bangalore,215/1
2012,,"MATCH 65
HPCA Stadium, Dharamsala
MAY, THU 17 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,123/4,Chennai Super Kings,120/7
2012,,"MATCH 64
Wankhede Stadium, Mumbai
MAY, WED 16 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 32 RUNS,Mumbai Indians,108,Kolkata Knight Riders,140/7
2012,,"MATCH 63
Arun Jaitley Stadium, Delhi
MAY, TUE 15 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 5 WICKETS,Delhi Daredevils,140/5,Punjab Kings,136/8
